"provider_id,player_name,first_name,last_name,date_of_birth,gender,country,nickname,jersey_number,nationality"
"P3_001,Luke Orange,Luke,Orange,1988-09-21,Male,USA,Lukey,12,American"
"P3_002,Chloe White,Chloe,White,1991-10-22,Female,Canada,Clo,13,Canadian"
"P3_003,Adam Blue,Adam,Blue,1983-11-23,Male,England,Addy,14,British"
"P3_004,Ella Black,Ella,Black,1992-12-24,Female,Australia,Elly,15,Australian"
"P3_005,Max Green,Max,Green,1985-01-25,Male,USA,Maxy,16,American"
"P3_006,Lily Yellow,Lily,Yellow,1990-02-26,Female,Canada,Lil,17,Canadian"
"P3_007,Owen Grey,Owen,Grey,1987-03-27,Male,England,Owy,18,British"
"P3_008,Ava Black,Ava,Black,1994-04-28,Female,Australia,Avi,19,Australian"
"P3_009,Jack Brown,Jack,Brown,1986-05-29,Male,USA,Jacky,20,American"
"P3_010,Grace White,Grace,White,1993-06-30,Female,Canada,Gracie,21,Canadian"
