"provider_id,player_name,first_name,last_name,date_of_birth,gender,country,nickname,jersey_number,nationality"
"P2_001,Johnathan Doe,John,Doe,1990-01-01,M,USA,Johnny,10,American"
"P2_002,Alexander Smith,Alex,Smith,1992-02-02,M,UK,Smithy,7,British"
"P2_003,Maria Gonzalez,Maria,Garcia,1995-03-03,F,Spain,Mari,9,Spanish"
"P2_004,David Kim,David,Kim,1988-04-04,M,South Korea,Dave,11,Korean"
"P2_005,Emily Johnson,Emily,Johnson,1991-05-05,F,Canada,Em,8,Canadian"
"P2_006,Michael Brown,Michael,Brown,1993-06-06,M,Australia,Mike,5,Australian"
"P2_007,Sarah Lee,Sarah,Lee,1994-07-07,F,New Zealand,Sally,6,Kiwi"
"P2_008,Robert Wilson,Robert,Wilson,1989-08-08,M,USA,Bob,4,American"
"P2_009,Linda Martinez,Linda,Martinez,1996-09-09,F,Mexico,Lindy,3,Mexican"
"P2_010,James Anderson,James,Anderson,1997-10-10,M,UK,Jimmy,2,British"
